maturity_date,coupon_rate,frequency,dirty_price,ytm
14.01.2026,0.0135,2,99.04609677,
7.07.2027,0.0145,2,93.21430033,
12.01.2028,0.0145,2,56.28821622,
28.06.2028,0.0165,2,39.25831033,
18.06.2025,0.0075,2,66.42453126,
28.05.2031,0.015,2,44.61169609,
11.02.2032,0,2,50.55151773,
4.08.2032,0,2,54.97328653,
12.01.2033,0,2,0.535180774,
7.09.2033,0,2,86.86570371,
18.01.2028,0,2,20.28463166,
14.02.2029,0,2,68.65181882,
2.05.2029,0.0124,2,44.38424716,
19.07.2028,0,2,43.82824904,
18.08.2027,0.015,2,33.17059833,
15.12.2027,0.015,2,70.20122921,
11.04.2029,0.025,2,12.82986008,
23.02.2033,0,1,89.67732737,
21.02.2035,0,1,92.44910775,
18.02.2037,0,1,91.24214164,
